Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes
RamseyNumbers_03-07-01-SAT,baseline,0.001,,0.0,0.174,,1.0,0.0,0.0,1.0
semigroup_semigroup11,baseline,0.122,,0.0,4.379,,1.0,0.0,0.0,122.0
blockedqueens-strong_blockedqueens481721284823,baseline,0.044,,0.0,1.37,,0.0,0.0,0.0,0.0
ramsey1_02-06-01-SAT,2,0.0,0.0,0.0,0.162,0.0,1.0,0.0,0.0,1.0
sonet_sonet6,2,268.056,0.038,0.0,0.85,0.0,0.0,0.0,0.0,665916.0
quasiGroup5NonIdempotent_quasiGroupX_13,2,3600.075,14.48,0.0,16.925,1.0,0.0,0.0,1.0,11348932.0
ramsey1_03-04-02-SAT,2,0.0,0.0,0.0,0.226,0.0,1.0,0.0,0.0,2.0
sokoban_New43,2,0.001,0.001,0.0,0.402,0.0,1.0,0.0,0.0,2.0
blackhole_PN-94,2,0.292,0.218,0.0,4.999,1.0,1.0,0.0,0.0,1192.0
PlottingModelA_7_7_6_seed15_37_6,baseline,0.206,,0.0,36.036,,1.0,0.0,0.0,116.0
sokoban_New84,baseline,0.002,,0.0,0.946,,1.0,0.0,0.0,31.0
opd_flener_et_al_tab7_2_35_10,2,0.004,0.102,0.0,0.774,1.0,1.0,0.0,0.0,146.0
blockedqueens_blockedqueens481721325287,baseline,35.044,,0.0,0.934,,1.0,0.0,0.0,108575.0
blockedqueens-strong_blockedqueens481721247363,baseline,7.952,,0.0,1.341,,0.0,0.0,0.0,36800.0
quasiGroup3NonIdempotent_quasiGroupX_10,baseline,3600.078,,0.0,2.5,,0.0,0.0,1.0,1730518.0
PlottingModelB_5_5_3_seed15_21_2,baseline,0.026,,0.0,2.822,,1.0,0.0,0.0,30.0
efpa_22,2,3600.065,4.445,0.0,6.351,1.0,0.0,0.0,1.0,77128543.0
bibd_puget9,2,0.108,0.357,0.0,2.045,1.0,1.0,0.0,0.0,1326.0
AccordionTable_cards_14_05,baseline,0.05,,0.0,1.212,,1.0,0.0,0.0,335.0
blockedqueens-strong_blockedqueens561860473904,2,69.092,0.02,0.0,1.519,0.0,0.0,0.0,0.0,120100.0
sokoban_New97,baseline,0.001,,0.0,0.364,,1.0,0.0,0.0,16.0
knights2_15b,2,0.462,3.222,0.0,16.311,1.0,0.0,0.0,0.0,1.0
bibd-implied_puget8,baseline,0.197,,0.0,4.298,,1.0,0.0,0.0,2381.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens250,baseline,1312.778,,0.0,2.86,,1.0,0.0,0.0,6997895.0
nlinkedseq_nlinkedseq-70-40,baseline,2.609,,0.0,13.632,,1.0,0.0,0.0,1693.0
knapsack_items-96,2,3600.002,0.004,0.0,0.417,0.0,1.0,0.0,1.0,62104254.0
blockedqueens_blockedqueens561860563511,baseline,12.798,,0.0,1.347,,1.0,0.0,0.0,49034.0
pegSolitaireTable_pegSolitaire2_20,baseline,0.331,,0.0,2.376,,0.0,0.0,0.0,0.0
Bombastic_Bombastic7,2,0.01,0.0,0.0,2.205,0.0,1.0,0.0,0.0,1.0
opd_flener_et_al_10_360_120,baseline,3600.241,,0.0,9.194,,1.0,0.0,1.0,33117267.0
killer_16-sol31,baseline,0.001,,0.0,0.978,,1.0,0.0,0.0,4.0
blackhole_PN-16,baseline,0.782,,0.0,5.051,,1.0,0.0,0.0,14685.0
sudoku_sudoku10,baseline,0.001,,0.0,0.493,,1.0,0.0,0.0,5.0
blockedqueens-strong_blockedqueens561860505104,2,0.024,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0
killer_16-sol89,2,0.004,0.054,0.0,1.204,1.0,1.0,0.0,0.0,4.0
ramsey1_03-06-02-SAT,2,0.001,0.0,0.0,0.364,0.0,1.0,0.0,0.0,2.0
blockedqueens-strong_blockedqueens281449798782,baseline,0.314,,0.0,0.838,,0.0,0.0,0.0,4707.0
ramsey2_03-07-01-SAT,baseline,0.0,,0.0,0.148,,1.0,0.0,0.0,1.0
stilllife_mdsl_12,baseline,3600.023,,0.0,1.844,,1.0,0.0,1.0,52017523.0
quasiGroup3Idempotent_quasiGroupX_20,baseline,3600.665,,0.0,10.952,,0.0,0.0,1.0,822086.0
bibd_puget12,2,0.296,1.066,0.0,4.895,1.0,1.0,0.0,0.0,2797.0
