Problem,Policy,Num_cons,thresh_overlap,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
quasiGroup5Idempotent_quasiGroupX_23,Sets,2,0.25,3587.25,105.169,0.0,3586.1,111.993,0.0,0.0,27641550.0,1.0,0.0,0.017071
quasiGroup7_quasiGroupX_23,Sets,2,0.25,3589.63,70.592,0.0,3588.85,76.84,0.0,0.0,17542001.0,1.0,0.0,0.01457
sonet2_sonet4,Sets,2,0.75,3590.74,1.344,0.0,3590.09,2.377,1.0,0.0,627093628.0,1.0,1.0,0.104684
molnars_molnars-4-5,Sets,2,0.75,3591.24,0.714,0.0,3591.23,1.998,0.0,0.0,78060197.0,1.0,0.0,0.004042
sokoban_New94,Sets,3,0.75,0.073519,0.007,0.0,0.073522,1.448,1.0,0.0,3.0,0.0,1.0,0.0
sportsScheduling_12-10-5,Sets,1,0.75,36.4999,1.719,0.0,36.4199,2.794,1.0,0.0,311500.0,0.0,1.0,0.00224
quasiGroup4NonIdempotent_quasiGroupX_19,2,-1,-1.0,,,0.0,,1200.002,,1.0,,,,
knapsack_items-85,Sets,3,0.0,64.5727,0.017,0.0,64.5722,0.329,1.0,0.0,11984734.0,0.0,67.0,0.000328
pegSolitaireState_pegSolitaire34,Sets,3,0.75,0.005814,0.018,0.0,7.9e-05,1.848,0.0,0.0,0.0,0.0,0.0,0.0
carSequencing_78,Sets,1,1.0,3591.13,25.0,0.0,3590.72,27.038,0.0,0.0,119625550.0,1.0,0.0,0.019293
pegSolitaireState_pegSolitaire49,Sets,2,0.0,0.006436,0.001,0.0,0.000182,1.557,0.0,0.0,0.0,0.0,0.0,0.000473
quasiGroup5Idempotent_quasiGroupX_20,Sets,1,0.25,3590.58,52.452,0.0,3590.02,57.461,0.0,0.0,11167802.0,1.0,0.0,0.008442
molnars_molnars-2-7,Sets,1,0.0,0.002826,0.421,0.0,2.8e-05,0.735,0.0,0.0,0.0,0.0,0.0,0.000139
blockedqueens-strong_blockedqueens281449788307,Sets,1,1.0,0.114909,0.15,0.0,0.092086,0.981,1.0,0.0,707.0,0.0,1.0,0.000779
quasiGroup4Idempotent_quasiGroupX_25,Sets,2,1.0,,,0.0,,1200.001,,1.0,,,,
quasiGroup4Idempotent_quasiGroupX_24,2,-1,-1.0,,,0.0,,1200.002,,1.0,,,,
blockedqueens-strong_blockedqueens281449796859,Sets,3,0.75,0.537361,0.027,0.0,0.521777,0.698,1.0,0.0,8732.0,0.0,1.0,0.000479
blockedqueens_blockedqueens501642420886,Sets,2,0.75,2208.7,0.03,0.0,2208.65,1.163,0.0,0.0,20767638.0,0.0,0.0,0.000158
golfers1_ord09-19-10-2,Sets,1,0.0,,,0.0,,1200.001,,1.0,,,,
blockedqueens-strong_blockedqueens481721345695,Sets,2,1.0,58.6837,0.024,0.0,58.6119,1.407,1.0,0.0,385418.0,0.0,1.0,0.000968
blockedqueens-strong_blockedqueens281449837667,Sets,1,1.0,0.9798,0.172,0.0,0.962562,0.884,0.0,0.0,15537.0,0.0,0.0,0.000609
knights2_08b,Sets,1,1.0,3590.89,2.298,0.0,3590.8,4.084,0.0,0.0,14757939.0,1.0,0.0,0.00341
blockedqueens_blockedqueens481721259656,Sets,2,0.75,3591.41,0.014,0.0,3591.38,0.845,0.0,0.0,45761058.0,1.0,0.0,0.000809
blockedqueens_blockedqueens281449800045,Sets,3,1.0,0.053165,0.024,0.0,0.042061,0.742,1.0,0.0,87.0,0.0,1.0,0.000582
quasiGroup4NonIdempotent_quasiGroupX_24,Sets,1,0.5,3589.68,538.335,0.0,3580.69,559.612,0.0,0.0,7120712.0,1.0,0.0,0.453156
knights_25a,Sets,3,1.0,,,0.0,,1200.002,,1.0,,,,
blackhole_PN-30,2,-1,-1.0,3.82172,0.262,0.0,0.51943,5.634,1.0,0.0,7969.0,0.0,1.0,0.010863
blockedqueens-strong_blockedqueens281449802710,Sets,1,0.5,0.31685,0.174,0.0,0.295271,0.976,0.0,0.0,4602.0,0.0,0.0,0.001557
pegSolitaireState_pegSolitaire2_14,Sets,2,0.5,246.222,177.575,0.0,241.911,184.145,1.0,0.0,741179.0,0.0,1.0,0.476171
opd_flener_et_al_tab7_17_35_10,Sets,3,1.0,3.35349,159.578,0.0,3.20386,163.127,1.0,0.0,164926.0,0.0,8.0,0.016373
AccordionTable_cards_15_04,Sets,2,0.0,,148.577,0.0,,168.539,,0.0,,1.0,,
blackhole_PN-51,Sets,2,1.0,7.45348,6.472,0.0,0.281813,12.674,1.0,0.0,558.0,0.0,1.0,0.017601
Bombastic_Bombastic61,Sets,1,0.25,0.029046,0.008,0.0,0.028596,0.701,1.0,0.0,1.0,0.0,1.0,0.0
killer_16-sol63,Sets,1,1.0,4.57633,6.973,0.0,1.37065,9.116,1.0,0.0,9104.0,0.0,1.0,0.243148
ramsey2_02-07-01-SAT,Sets,3,0.0,0.040507,0.001,0.0,0.040509,0.172,1.0,0.0,1.0,0.0,1.0,0.0
ramsey1_02-03-01-SAT,Sets,3,1.0,0.039462,0.002,0.0,0.039464,0.168,1.0,0.0,1.0,0.0,1.0,0.0
blockedqueens-strong_blockedqueens561860531142,Sets,3,0.0,0.034074,0.004,0.0,5.4e-05,1.14,0.0,0.0,0.0,0.0,0.0,0.000173
quasiGroup5Idempotent_quasiGroupX_10,Sets,3,1.0,46.7665,133.961,0.0,43.1603,136.352,1.0,0.0,168297.0,0.0,1.0,0.392388
carSequencing_12,Sets,2,1.0,3592.29,292.857,0.0,3592.18,294.507,0.0,0.0,118047820.0,1.0,0.0,0.005034
blockedqueens-strong_blockedqueens501642418648,Sets,3,0.0,988.045,0.78,0.0,987.987,2.028,1.0,0.0,8422772.0,0.0,1.0,0.002182
bibd-implied_puget9,Sets,3,0.5,0.06871,35.661,0.0,0.047308,37.365,1.0,0.0,368.0,0.0,1.0,0.001321
sudoku_sudoku13,Sets,3,0.25,0.036089,0.06,0.0,0.035147,0.483,1.0,0.0,2.0,0.0,1.0,0.000207
blackhole_PN-52,Sets,1,0.75,77.4083,47.179,0.0,26.4229,55.121,1.0,0.0,20742.0,0.0,1.0,1.07383
blockedqueens_blockedqueens501642447595,Sets,1,0.25,124.735,0.979,0.0,124.677,2.031,1.0,0.0,942564.0,0.0,1.0,0.002165
knapsack_knapsack_2,Sets,3,1.0,6.0078,0.012,0.0,6.0078,0.293,1.0,0.0,1260132.0,0.0,366.0,0.0
sudoku_sudoku29,Sets,3,0.5,0.031915,0.026,0.0,0.031562,0.479,1.0,0.0,1.0,0.0,1.0,4.9e-05
blockedqueens_blockedqueens281449802306,Sets,2,0.75,1.20154,0.031,0.0,1.19266,0.65,1.0,0.0,26622.0,0.0,1.0,0.000412
bibd_puget8,Sets,3,1.0,39.6128,58.995,0.0,39.4771,62.961,1.0,0.0,3690960.0,0.0,1.0,0.009266
sokoban_New73,Sets,2,0.0,0.256329,3.408,0.0,0.03109,4.089,1.0,0.0,21.0,0.0,1.0,0.017776
knapsack_items-94,Sets,3,0.25,327.871,0.009,0.0,327.87,0.363,1.0,0.0,49877696.0,0.0,115.0,0.0
blockedqueens_blockedqueens281449850700,2,-1,-1.0,0.090929,0.122,0.0,0.075924,0.872,0.0,0.0,1012.0,0.0,0.0,0.000416
graphColouring_david,Sets,1,0.75,0.331947,1.178,0.0,0.002506,2.141,1.0,0.0,131.0,0.0,2.0,0.026734
pegSolitaireAction_pegSolitaire36,Sets,3,1.0,0.005702,0.02,0.0,0.0,5.325,0.0,0.0,0.0,0.0,0.0,0.00041
knapsack_items-53,Sets,3,0.25,3.08808,0.01,0.0,3.08698,0.254,1.0,0.0,960162.0,0.0,74.0,0.000267
AccordionTable_cards_15_04,Sets,2,0.25,3588.66,27.753,0.0,3547.78,33.726,0.0,0.0,45767321.0,1.0,0.0,3.06084
sonet_sonet6,Sets,3,0.25,3591.08,4.94,0.0,3591.08,5.678,0.0,0.0,1056693324.0,1.0,0.0,0.001079
blackhole_PN-90,Sets,3,0.0,,,0.0,,1294.681,,1.0,,,,
knights_30b,Sets,3,0.75,,,0.0,,1200.001,,1.0,,,,
quasiGroup5Idempotent_quasiGroupX_10,Sets,1,0.0,15.6522,535.483,0.0,14.953,536.671,1.0,0.0,168935.0,0.0,1.0,0.071619
bibd-implied_puget9,Sets,2,0.0,,,0.0,,1200.002,,1.0,,,,
molnars_molnars-3-10,Sets,1,1.0,1083.24,0.147,0.0,1083.24,0.945,1.0,0.0,139330064.0,0.0,1.0,0.002489
coprime_16,Sets,2,0.5,,,0.0,,1206.365,,1.0,,,,
semigroup_semigroup21,Sets,1,1.0,2.24825,195.739,0.0,0.543081,217.445,1.0,0.0,442.0,0.0,1.0,0.090776
blockedqueens-strong_blockedqueens281449839192,Sets,1,0.75,3.31223,0.16,0.0,3.2914,0.967,1.0,0.0,45269.0,0.0,1.0,0.001643
golfers3_ord08-17-9-2,Sets,2,0.0,,,0.0,,1200.002,,1.0,,,,
knights_06b,Sets,1,1.0,0.089196,0.5,0.0,0.085416,1.28,1.0,0.0,3245.0,0.0,1.0,0.000814
JPEncoding_data1900,Sets,1,0.25,3590.36,1150.093,0.0,3585.48,1188.915,1.0,0.0,18622659.0,1.0,184.0,0.159721
pegSolitaireTable_pegSolitaire2_22,Sets,2,1.0,5.71909,0.046,0.0,5.59969,2.264,1.0,0.0,23244.0,0.0,1.0,0.014136
sokoban_New7,Sets,2,0.5,0.036008,0.033,0.0,0.036011,0.397,1.0,0.0,2.0,0.0,1.0,0.0
PlottingModelA_5_5_3_seed15_10_5,Sets,1,0.75,,,0.0,,1200.002,,1.0,,,,
PlottingModelA_5_5_3_seed15_7_7,Sets,2,0.5,,,0.0,,1209.212,,1.0,,,,
sokoban_New69,Sets,2,0.5,0.236874,0.884,0.0,0.037162,1.436,1.0,0.0,18.0,0.0,1.0,0.017203
blockedqueens-strong_blockedqueens281449842687,Sets,2,0.5,0.307964,0.022,0.0,0.288296,0.947,1.0,0.0,3798.0,0.0,1.0,0.000592
pegSolitaireTable_pegSolitaire4_47,Sets,1,1.0,2366.76,2.222,0.0,2366.22,4.156,1.0,0.0,12791129.0,0.0,1.0,0.098017
graphColouring_zeroin_i_3,Sets,1,0.25,0.868568,1.6,0.0,0.025635,3.986,1.0,0.0,207.0,0.0,1.0,0.006876
pegSolitaireState_pegSolitaire50,Sets,1,1.0,0.006397,0.018,0.0,0.000206,1.607,0.0,0.0,0.0,0.0,0.0,0.000621
pegSolitaireAction_pegSolitaire30,Sets,2,0.25,,,0.0,,1200.001,,1.0,,,,
blockedqueens_blockedqueens501642456636,2,-1,-1.0,2878.65,0.227,0.0,2878.55,1.41,1.0,0.0,17541253.0,0.0,1.0,0.003284
PlottingModelB_5_5_3_seed15_14_5,Sets,3,0.5,,,0.0,,1200.003,,1.0,,,,
quasiGroup7_quasiGroupX_12,Sets,3,0.75,3591.7,0.277,0.0,3591.65,1.657,0.0,0.0,28077652.0,1.0,0.0,0.002668
blockedqueens-strong_blockedqueens281449850265,Sets,3,1.0,0.703615,0.016,0.0,0.682372,0.963,1.0,0.0,8970.0,0.0,1.0,0.000583
bpmp_412,2,-1,-1.0,143.511,1.746,0.0,143.473,3.208,1.0,0.0,655905.0,0.0,1.0,0.003964
coprime_24,Sets,1,1.0,,,0.0,,1200.001,,1.0,,,,
sonet2_sonet5-4,Sets,1,0.0,,127.965,0.0,,128.644,,0.0,,1.0,,
blockedqueens-strong_blockedqueens281449794094,Sets,3,0.5,1.45928,0.012,0.0,1.43851,0.914,0.0,0.0,18011.0,0.0,0.0,0.000841
opd_flener_et_al_tab7_6_35_10,baseline,-1,-1.0,0.018434,,0.0,0.016241,1.317,1.0,0.0,11054.0,0.0,9.0,0.0
blockedqueens_blockedqueens501642451919,Sets,2,1.0,158.26,0.023,0.0,158.221,0.99,1.0,0.0,1753571.0,0.0,1.0,0.001053
peaceableArmyOfQueens2_peaceableArmyQueens6,Sets,2,0.75,0.752559,10.835,0.0,0.747252,11.934,1.0,0.0,32964.0,0.0,5.0,0.001208
blockedqueens_blockedqueens561860563511,Sets,2,0.75,3590.23,0.023,0.0,3590.16,1.331,0.0,0.0,26925912.0,1.0,0.0,0.001266
